Nfactura,CODCLI,CODART,Fecha,Unidades,Precio,Costo
3184,10,8,2019-04-15,22,170.99,153.89
3185,10,11,2019-04-15,4,569.99,512.99
3186,10,12,2019-04-15,30,45.18,40.66
3187,10,13,2019-04-15,76,45.59,41.03
3188,10,14,2019-04-15,30,66.61,59.95
3189,10,15,2019-04-15,60,51.52,46.37
3328,10,1,2019-07-13,32,581.64,523.48
3329,10,2,2019-07-14,32,123.49,111.14
3330,10,4,2019-07-15,24,284.99,256.49
3331,10,5,2019-07-16,32,522.49,470.24
3332,10,6,2019-07-17,32,47.49,42.74
3333,10,7,2019-07-18,24,56.99,51.29
3334,10,8,2019-07-19,24,170.99,153.89
3335,10,11,2019-07-20,4,569.99,512.99
3336,10,12,2019-07-21,32,45.18,40.66
3337,10,13,2019-07-22,81,45.59,41.03
3338,10,14,2019-07-23,32,66.61,59.95
3339,10,15,2019-07-24,65,51.52,46.37
3346,10,7,2019-07-31,24,56.99,51.29
3347,10,8,2019-08-01,15,170.99,153.89
3348,10,11,2019-08-02,16,569.99,512.99
3349,10,12,2019-08-03,20,45.18,40.66
3350,10,13,2019-08-04,40,45.59,41.03
3351,10,14,2019-08-05,25,66.61,59.95
3352,10,15,2019-08-06,30,51.52,46.37
3359,10,1,2019-08-13,32,581.64,523.48
3401,10,1,2019-09-24,32,581.64,523.48
3402,10,2,2019-09-25,32,123.49,111.14
3403,10,4,2019-09-26,24,284.99,256.49
3404,10,5,2019-09-27,32,522.49,470.24
3405,10,6,2019-09-28,32,47.49,42.74
3406,10,7,2019-09-29,24,56.99,51.29
3407,10,8,2019-09-30,24,170.99,153.89
3408,10,11,2019-10-01,4,569.99,512.99
3409,10,12,2019-10-02,32,45.18,40.66
3410,10,13,2019-10-03,81,45.59,41.03
3411,10,14,2019-10-04,32,66.61,59.95
3412,10,15,2019-10-05,65,51.52,46.37
3419,10,7,2019-10-12,24,56.99,51.29
3420,10,8,2019-10-13,15,170.99,153.89
3421,10,11,2019-10-14,16,569.99,512.99
3422,10,12,2019-10-15,20,45.18,40.66
3423,10,13,2019-10-16,40,45.59,41.03
3424,10,14,2019-10-17,25,66.61,59.95
3425,10,15,2019-10-18,30,51.52,46.37
3432,10,1,2019-10-25,32,581.64,523.48
3472,10,1,2019-12-04,32,581.64,523.48
3473,10,2,2019-12-05,32,123.49,111.14
3474,10,4,2019-12-06,24,284.99,256.49
3475,10,5,2019-12-07,32,522.49,470.24
3476,10,6,2019-12-08,32,47.49,42.74
3477,10,7,2019-12-09,24,56.99,51.29
3478,10,8,2019-12-10,24,170.99,153.89
3479,10,11,2019-12-11,4,569.99,512.99
3480,10,12,2019-12-12,32,45.18,40.66
3481,10,13,2019-12-13,81,45.59,41.03
3482,10,14,2019-12-14,32,66.61,59.95
3483,10,15,2019-12-15,65,51.52,46.37
3756,10,1,2020-09-13,30,581.64,523.48
3757,10,2,2020-09-14,30,123.49,111.14
3758,10,4,2020-09-15,22,284.99,256.49
3759,10,5,2020-09-16,30,522.49,470.24
3760,10,6,2020-09-17,30,47.49,42.74
3761,10,7,2020-09-18,22,56.99,51.29
3762,10,8,2020-09-19,22,170.99,153.89
3763,10,11,2020-09-20,4,569.99,512.99
3764,10,12,2020-09-21,30,45.18,40.66
3765,10,13,2020-09-22,76,45.59,41.03
3766,10,14,2020-09-23,30,66.61,59.95
3767,10,15,2020-09-24,60,51.52,46.37
139,5,1,2013-05-23,20,581.64,436.23
140,5,2,2013-05-24,18,123.49,103.73
141,5,4,2013-05-25,24,284.99,225.14
142,5,7,2013-05-26,18,56.99,47.87
143,5,11,2013-05-27,18,569.99,450.29
144,5,10,2013-05-28,15,227.99,191.51
145,5,13,2013-05-29,61,45.59,38.3
146,5,15,2013-05-30,123,51.52,43.28
294,5,1,2013-10-25,19,581.64,436.23
295,5,2,2013-10-26,18,123.49,103.73
296,5,4,2013-10-27,24,284.99,225.14
297,5,7,2013-10-28,18,56.99,47.87
298,5,11,2013-10-29,18,569.99,450.29
299,5,10,2013-10-30,15,227.99,191.51
300,5,13,2013-10-31,60,45.59,38.3
301,5,15,2013-11-01,121,51.52,43.28
373,5,1,2014-01-12,19,581.64,436.23
374,5,2,2014-01-13,17,123.49,103.73
375,5,4,2014-01-14,23,284.99,225.14
376,5,7,2014-01-15,17,56.99,47.87
377,5,11,2014-01-16,17,569.99,450.29
378,5,10,2014-01-17,14,227.99,191.51
379,5,13,2014-01-18,58,45.59,38.3
380,5,15,2014-01-19,117,51.52,43.28
560,5,1,2014-07-18,7,581.64,442.05
561,5,2,2014-07-19,7,123.49,104.97
562,5,4,2014-07-20,9,284.99,227.99
563,5,7,2014-07-21,7,56.99,48.44
564,5,11,2014-07-22,7,569.99,455.99
565,5,10,2014-07-23,5,227.99,193.79
566,5,13,2014-07-24,23,45.59,38.3
567,5,15,2014-07-25,47,51.52,43.28
626,5,1,2014-09-22,15,581.64,436.23
627,5,2,2014-09-23,14,123.49,103.73
628,5,4,2014-09-24,19,284.99,225.14
629,5,7,2014-09-25,14,56.99,47.87
630,5,11,2014-09-26,14,569.99,450.29
631,5,10,2014-09-27,12,227.99,191.51
632,5,13,2014-09-28,48,45.59,38.3
633,5,15,2014-09-29,96,51.52,43.28
736,5,1,2015-01-10,21,581.64,436.23
737,5,2,2015-01-11,19,123.49,103.73
738,5,4,2015-01-12,25,284.99,225.14
739,5,7,2015-01-13,19,56.99,47.87
740,5,11,2015-01-14,19,569.99,450.29
741,5,10,2015-01-15,16,227.99,191.51
742,5,13,2015-01-16,64,45.59,38.3
743,5,15,2015-01-17,129,51.52,43.28
823,5,1,2015-04-07,22,581.64,436.23
824,5,2,2015-04-08,20,123.49,103.73
825,5,4,2015-04-09,27,284.99,225.14
826,5,7,2015-04-10,20,56.99,47.87
827,5,11,2015-04-11,20,569.99,450.29
828,5,10,2015-04-12,17,227.99,191.51
829,5,13,2015-04-13,68,45.59,38.3
830,5,15,2015-04-14,137,51.52,43.28
1036,5,1,2015-11-06,24,581.64,436.23
1037,5,2,2015-11-07,22,123.49,103.73
1038,5,4,2015-11-08,29,284.99,225.14
1039,5,7,2015-11-09,22,56.99,47.87
1040,5,11,2015-11-10,22,569.99,450.29
1041,5,10,2015-11-11,18,227.99,191.51
1042,5,13,2015-11-12,74,45.59,38.3
1043,5,15,2015-11-13,148,51.52,43.28
1191,5,1,2016-04-09,23,581.64,436.23
1192,5,2,2016-04-10,22,123.49,103.73
1193,5,4,2016-04-11,29,284.99,225.14
1194,5,7,2016-04-12,22,56.99,47.87
1195,5,11,2016-04-13,22,569.99,450.29
1196,5,10,2016-04-14,18,227.99,191.51
1197,5,13,2016-04-15,73,45.59,38.3
1198,5,15,2016-04-16,146,51.52,43.28
1270,5,1,2016-06-27,23,581.64,436.23
1271,5,2,2016-06-28,21,123.49,103.73
1272,5,4,2016-06-29,28,284.99,225.14
1273,5,7,2016-06-30,21,56.99,47.87
1274,5,11,2016-07-01,21,569.99,450.29
1275,5,10,2016-07-02,17,227.99,191.51
1276,5,13,2016-07-03,71,45.59,38.3
1277,5,15,2016-07-04,142,51.52,43.28
1457,5,1,2016-12-31,8,581.64,442.05
1458,5,2,2017-01-01,8,123.49,104.97
1459,5,4,2017-01-02,10,284.99,225.14
1460,5,7,2017-01-03,8,56.99,48.44
1461,5,11,2017-01-04,8,569.99,455.99
1462,5,10,2017-01-05,6,227.99,193.79
1463,5,13,2017-01-06,26,45.59,38.3
1464,5,15,2017-01-07,53,51.52,43.28
1523,5,1,2017-03-07,19,581.64,436.23
1524,5,2,2017-03-08,17,123.49,103.73
1525,5,4,2017-03-09,23,284.99,225.14
1526,5,7,2017-03-10,17,56.99,47.87
1527,5,11,2017-03-11,17,569.99,450.29
1528,5,10,2017-03-12,14,227.99,191.51
1529,5,13,2017-03-13,58,45.59,38.3
1530,5,15,2017-03-14,117,51.52,43.28
1633,5,1,2017-06-25,25,581.64,436.23
1634,5,2,2017-06-26,23,123.49,103.73
1635,5,4,2017-06-27,31,284.99,225.14
1636,5,7,2017-06-28,23,56.99,47.87
1637,5,11,2017-06-29,23,569.99,450.29
1638,5,10,2017-06-30,19,227.99,191.51
1639,5,13,2017-07-01,78,45.59,38.3
1640,5,15,2017-07-02,156,51.52,43.28
1720,5,1,2017-09-20,26,581.64,436.23
1721,5,2,2017-09-21,24,123.49,103.73
1722,5,4,2017-09-22,33,284.99,225.14
1723,5,7,2017-09-23,24,56.99,47.87
1724,5,11,2017-09-24,24,569.99,450.29
1725,5,10,2017-09-25,20,227.99,191.51
1726,5,13,2017-09-26,83,45.59,38.3
1727,5,15,2017-09-27,166,51.52,43.28
1933,5,1,2018-04-21,28,581.64,436.23
1934,5,2,2018-04-22,26,123.49,103.73
1935,5,4,2018-04-23,34,284.99,225.14
1936,5,7,2018-04-24,26,56.99,47.87
1937,5,11,2018-04-25,26,569.99,450.29
1938,5,10,2018-04-26,21,227.99,191.51
1939,5,13,2018-04-27,87,45.59,38.3
1940,5,15,2018-04-28,174,51.52,43.28
2088,5,1,2018-09-23,28,581.64,436.23
2089,5,2,2018-09-24,25,123.49,103.73
2090,5,4,2018-09-25,34,284.99,225.14
2091,5,7,2018-09-26,25,56.99,47.87
2092,5,11,2018-09-27,25,569.99,450.29
2093,5,10,2018-09-28,21,227.99,191.51
2094,5,13,2018-09-29,86,45.59,38.3
2095,5,15,2018-09-30,172,51.52,43.28
2121,5,1,2018-10-26,19,581.64,436.23
2122,5,2,2018-10-27,17,123.49,103.73
2123,5,4,2018-10-28,23,284.99,225.14
2124,5,7,2018-10-29,17,56.99,47.87
2125,5,11,2018-10-30,17,569.99,450.29
2126,5,10,2018-10-31,14,227.99,191.51
2127,5,13,2018-11-01,58,45.59,38.3
2128,5,15,2018-11-02,117,51.52,43.28
2308,5,1,2019-05-01,7,581.64,442.05
2309,5,2,2019-05-02,7,123.49,104.97
2310,5,4,2019-05-03,9,284.99,227.99
2311,5,7,2019-05-04,7,56.99,48.44
2312,5,11,2019-05-05,7,569.99,455.99
2313,5,10,2019-05-06,5,227.99,193.79
2314,5,13,2019-05-07,23,45.59,38.3
2315,5,15,2019-05-08,47,51.52,43.28
32,5,1,2015-09-08,15,581.64,436.23
33,5,2,2015-09-08,14,123.49,103.73
34,5,4,2015-09-08,19,284.99,225.14
35,5,7,2015-09-08,14,56.99,47.87
36,5,11,2015-09-08,14,569.99,450.29
37,5,10,2015-09-08,12,227.99,191.51
38,5,13,2015-09-08,48,45.59,38.3
39,5,15,2015-09-08,96,51.52,43.28
142,5,1,2015-11-08,21,581.64,436.23
143,5,2,2015-11-08,19,123.49,103.73
144,5,4,2015-11-08,25,284.99,225.14
145,5,7,2015-11-08,19,56.99,47.87
146,5,11,2015-11-08,19,569.99,450.29
147,5,10,2015-11-08,16,227.99,191.51
148,5,13,2015-11-08,64,45.59,38.3
149,5,15,2015-11-08,129,51.52,43.28
344,5,1,2016-02-08,20,581.64,436.23
345,5,2,2016-02-08,18,123.49,103.73
346,5,4,2016-02-08,24,284.99,225.14
347,5,7,2016-02-08,18,56.99,47.87
348,5,11,2016-02-08,30,569.99,450.29
349,5,10,2016-02-08,15,227.99,191.51
350,5,13,2016-02-08,61,45.59,38.3
351,5,15,2016-02-08,123,51.52,43.28
495,5,1,2016-05-08,19,581.64,436.23
496,5,2,2016-05-08,17,123.49,103.73
497,5,4,2016-05-08,23,284.99,225.14
498,5,7,2016-05-08,17,56.99,47.87
499,5,11,2016-05-08,17,569.99,450.29
500,5,10,2016-05-08,14,227.99,191.51
501,5,13,2016-05-08,58,45.59,38.3
502,5,15,2016-05-08,117,51.52,43.28
682,5,1,2016-08-08,7,581.64,442.05
683,5,2,2016-08-08,7,123.49,104.97
684,5,4,2016-08-08,9,284.99,227.99
685,5,7,2016-08-08,7,56.99,48.44
686,5,11,2016-08-08,7,569.99,455.99
687,5,10,2016-08-08,5,227.99,193.79
688,5,13,2016-08-08,23,45.59,38.3
689,5,15,2016-08-08,47,51.52,43.28
748,5,1,2016-09-08,15,581.64,436.23
749,5,2,2016-09-08,14,123.49,103.73
750,5,4,2016-09-08,19,284.99,225.14
751,5,7,2016-09-08,14,56.99,47.87
752,5,11,2016-09-08,14,569.99,450.29
753,5,10,2016-09-08,12,227.99,191.51
754,5,13,2016-09-08,48,45.59,38.3
755,5,15,2016-09-08,96,51.52,43.28
858,5,1,2016-11-08,21,581.64,436.23
859,5,2,2016-11-08,19,123.49,103.73
860,5,4,2016-11-08,25,284.99,225.14
861,5,7,2016-11-08,19,56.99,47.87
862,5,11,2016-11-08,19,569.99,450.29
863,5,10,2016-11-08,16,227.99,191.51
864,5,13,2016-11-08,64,45.59,38.3
865,5,15,2016-11-08,129,51.52,43.28
945,5,1,2016-12-08,22,581.64,436.23
946,5,2,2016-12-08,20,123.49,103.73
947,5,4,2016-12-08,27,284.99,225.14
948,5,7,2016-12-08,20,56.99,47.87
949,5,11,2016-12-08,20,569.99,450.29
950,5,10,2016-12-08,17,227.99,191.51
951,5,13,2016-12-08,68,45.59,38.3
952,5,15,2016-12-08,137,51.52,43.28
1060,5,1,2017-02-08,20,581.64,436.23
1061,5,2,2017-02-08,18,123.49,103.73
1062,5,4,2017-02-08,24,284.99,225.14
1063,5,7,2017-02-08,18,56.99,47.87
1064,5,11,2017-02-08,30,569.99,450.29
1065,5,10,2017-02-08,15,227.99,191.51
1066,5,13,2017-02-08,61,45.59,38.3
1067,5,15,2017-02-08,123,51.52,43.28
1211,5,1,2017-05-08,19,581.64,436.23
1212,5,2,2017-05-08,17,123.49,103.73
1213,5,4,2017-05-08,23,284.99,225.14
1214,5,7,2017-05-08,17,56.99,47.87
1215,5,11,2017-05-08,17,569.99,450.29
1216,5,10,2017-05-08,14,227.99,191.51
1217,5,13,2017-05-08,58,45.59,38.3
1218,5,15,2017-05-08,20,51.52,43.28
1398,5,1,2017-08-08,7,581.64,442.05
1399,5,2,2017-08-08,7,123.49,104.97
1400,5,4,2017-08-08,9,284.99,227.99
1401,5,7,2017-08-08,7,56.99,48.44
1402,5,11,2017-08-08,7,569.99,455.99
1403,5,10,2017-08-08,5,227.99,193.79
1404,5,13,2017-08-08,23,45.59,38.3
1405,5,15,2017-08-08,47,51.52,43.28
1464,5,1,2017-09-08,15,581.64,436.23
1465,5,2,2017-09-08,14,123.49,103.73
1466,5,4,2017-09-08,19,284.99,225.14
1467,5,7,2017-09-08,14,56.99,47.87
1468,5,11,2017-09-08,14,569.99,450.29
1469,5,10,2017-09-08,12,227.99,191.51
1470,5,13,2017-09-08,48,45.59,38.3
1471,5,15,2017-09-08,96,51.52,43.28
1574,5,1,2017-11-08,21,581.64,436.23
1575,5,2,2017-11-08,19,123.49,103.73
1576,5,4,2017-11-08,25,284.99,225.14
1577,5,7,2017-11-08,19,56.99,47.87
1578,5,11,2017-11-08,19,569.99,450.29
1579,5,10,2017-11-08,16,227.99,191.51
1580,5,13,2017-11-08,64,45.59,38.3
1581,5,15,2017-11-08,129,51.52,43.28
1661,5,1,2017-12-08,22,581.64,436.23
1662,5,2,2017-12-08,20,123.49,103.73
1663,5,4,2017-12-08,27,284.99,225.14
1664,5,7,2017-12-08,20,56.99,47.87
1665,5,11,2017-12-08,20,569.99,450.29
1666,5,10,2017-12-08,17,227.99,191.51
1667,5,13,2017-12-08,68,45.59,38.3
1668,5,15,2017-12-08,137,51.52,43.28
2012,5,1,2018-02-08,20,581.64,436.23
2013,5,2,2018-02-08,18,123.49,103.73
2014,5,4,2018-02-08,24,284.99,225.14
2015,5,7,2018-02-08,18,56.99,47.87
2016,5,11,2018-02-08,30,569.99,450.29
2017,5,10,2018-02-08,15,227.99,191.51
2018,5,13,2018-02-08,61,45.59,38.3
2019,5,15,2018-02-08,123,51.52,43.28
2020,5,1,2018-02-08,20,581.64,436.23
2021,5,2,2018-02-08,18,123.49,103.73
2022,5,4,2018-02-08,24,284.99,225.14
2023,5,7,2018-02-08,18,56.99,47.87
2024,5,11,2018-02-08,30,569.99,450.29
2025,5,10,2018-02-08,15,227.99,191.51
2026,5,13,2018-02-08,61,45.59,38.3
2027,5,15,2018-02-08,123,51.52,43.28
2227,5,1,2018-04-08,19,581.64,436.23
2228,5,2,2018-04-08,18,123.49,103.73
2229,5,4,2018-04-08,24,284.99,225.14
2230,5,7,2018-04-08,18,56.99,47.87
2231,5,11,2018-04-08,18,569.99,450.29
2232,5,10,2018-04-08,15,227.99,191.51
2233,5,13,2018-04-08,60,45.59,38.3
2234,5,15,2018-04-08,121,51.52,43.28
2306,5,1,2018-05-08,19,581.64,436.23
2307,5,2,2018-05-08,17,123.49,103.73
2308,5,4,2018-05-08,23,284.99,225.14
2309,5,7,2018-05-08,17,56.99,47.87
2310,5,11,2018-05-08,17,569.99,450.29
2311,5,10,2018-05-08,14,227.99,191.51
2312,5,13,2018-05-08,58,45.59,38.3
2313,5,15,2018-05-08,117,51.52,43.28
2493,5,1,2018-08-08,7,581.64,442.05
2494,5,2,2018-08-08,7,123.49,104.97
2495,5,4,2018-08-08,9,284.99,227.99
2496,5,7,2018-08-08,7,56.99,48.44
2497,5,11,2018-08-08,7,569.99,455.99
2498,5,10,2018-08-08,5,227.99,193.79
2499,5,13,2018-08-08,23,45.59,38.3
2500,5,15,2018-08-08,47,51.52,43.28
2559,5,1,2018-09-08,15,581.64,436.23
2560,5,2,2018-09-08,14,123.49,103.73
2561,5,4,2018-09-08,19,284.99,225.14
2562,5,7,2018-09-08,14,56.99,47.87
2563,5,11,2018-09-08,14,569.99,450.29
2564,5,10,2018-09-08,12,227.99,191.51
2565,5,13,2018-09-08,48,45.59,38.3
2566,5,15,2018-09-08,96,51.52,43.28
2669,5,1,2018-11-08,21,581.64,436.23
2670,5,2,2018-11-08,19,123.49,103.73
2671,5,4,2018-11-08,25,284.99,225.14
2672,5,7,2018-11-08,19,56.99,47.87
2673,5,11,2018-11-08,19,569.99,450.29
2674,5,10,2018-11-08,16,227.99,191.51
2675,5,13,2018-11-08,64,45.59,38.3
2676,5,15,2018-11-08,129,51.52,43.28
2756,5,1,2018-12-08,22,581.64,436.23
2757,5,2,2018-12-08,20,123.49,103.73
2758,5,4,2018-12-08,27,284.99,225.14
2759,5,7,2018-12-08,20,56.99,47.87
2760,5,11,2018-12-08,20,569.99,450.29
2761,5,10,2018-12-08,17,227.99,191.51
2762,5,13,2018-12-08,68,45.59,38.3
2763,5,15,2018-12-08,137,51.52,43.28
2970,5,1,2019-02-08,20,581.64,436.23
2971,5,2,2019-02-08,18,123.49,103.73
2972,5,4,2019-02-08,24,284.99,225.14
2973,5,7,2019-02-08,18,56.99,47.87
2974,5,11,2019-02-08,18,569.99,450.29
2975,5,10,2019-02-08,15,227.99,191.51
2976,5,13,2019-02-08,61,45.59,38.3
2977,5,15,2019-02-08,123,51.52,43.28
3149,5,1,2019-04-08,19,581.64,436.23
3150,5,2,2019-04-08,18,123.49,103.73
3151,5,4,2019-04-08,24,284.99,225.14
3152,5,7,2019-04-08,18,56.99,47.87
3153,5,11,2019-04-08,18,569.99,450.29
3154,5,10,2019-04-08,15,227.99,191.51
3155,5,13,2019-04-08,60,45.59,38.3
3156,5,15,2019-04-08,121,51.52,43.28
3228,5,1,2019-05-08,19,581.64,436.23
3229,5,2,2019-05-08,17,123.49,103.73
3230,5,4,2019-05-08,23,284.99,225.14
3231,5,7,2019-05-08,17,56.99,47.87
3232,5,11,2019-05-08,17,569.99,450.29
3233,5,10,2019-05-08,14,227.99,191.51
3234,5,13,2019-05-08,58,45.59,38.3
3235,5,15,2019-05-08,117,51.52,43.28
3572,5,1,2020-03-13,20,581.64,436.23
3573,5,2,2020-03-14,18,123.49,103.73
3574,5,4,2020-03-15,24,284.99,225.14
3575,5,7,2020-03-16,18,56.99,47.87
3576,5,11,2020-03-17,18,569.99,450.29
3577,5,10,2020-03-18,15,227.99,191.51
3578,5,13,2020-03-19,61,45.59,38.3
3579,5,15,2020-03-20,123,51.52,43.28
3727,5,1,2020-08-15,19,581.64,436.23
3728,5,2,2020-08-16,18,123.49,103.73
3729,5,4,2020-08-17,24,284.99,225.14
3730,5,7,2020-08-18,18,56.99,47.87
3731,5,11,2020-08-19,18,569.99,450.29
3732,5,10,2020-08-20,15,227.99,191.51
3733,5,13,2020-08-21,60,45.59,38.3
3734,5,15,2020-08-22,121,51.52,43.28
3806,5,1,2020-11-02,19,581.64,436.23
3807,5,2,2020-11-03,17,123.49,103.73
3808,5,4,2020-11-04,23,284.99,225.14
3809,5,7,2020-11-05,17,56.99,47.87
3810,5,11,2020-11-06,17,569.99,450.29
3811,5,10,2020-11-07,14,227.99,191.51
3812,5,13,2020-11-08,58,45.59,38.3
3813,5,15,2020-11-09,117,51.52,43.28
161,9,2,2013-06-14,24,123.49,123.49
162,9,4,2013-06-15,24,284.99,284.99
163,9,7,2013-06-16,6,56.99,56.99
164,9,8,2013-06-17,4,170.99,170.99
165,9,10,2013-06-18,1,227.99,227.99
166,9,3,2013-06-19,1,332.49,332.49
167,9,9,2013-06-20,1,427.49,427.49
232,9,2,2013-08-24,26,123.49,123.49
233,9,4,2013-08-25,26,284.99,284.99
234,9,7,2013-08-26,6,56.99,56.99
235,9,8,2013-08-27,4,170.99,170.99
236,9,10,2013-08-28,1,227.99,227.99
237,9,3,2013-08-29,1,332.49,332.49
238,9,9,2013-08-30,1,427.49,427.49
316,9,2,2013-11-16,24,123.49,123.49
317,9,4,2013-11-17,24,284.99,284.99
318,9,7,2013-11-18,6,56.99,56.99
319,9,8,2013-11-19,4,170.99,170.99
320,9,10,2013-11-20,1,227.99,227.99
321,9,3,2013-11-21,1,332.49,332.49
322,9,9,2013-11-22,1,427.49,427.49
455,9,2,2014-04-04,19,123.49,123.49
456,9,4,2014-04-05,19,284.99,284.99
457,9,7,2014-04-06,4,56.99,56.99
458,9,8,2014-04-07,3,170.99,170.99
459,9,10,2014-04-08,1,227.99,227.99
460,9,3,2014-04-09,1,332.49,332.49
461,9,9,2014-04-10,1,427.49,427.49
536,9,2,2014-06-24,16,123.49,123.49
537,9,4,2014-06-25,16,284.99,284.99
538,9,7,2014-06-26,4,56.99,56.99
539,9,8,2014-06-27,3,170.99,170.99
540,9,10,2014-06-28,1,227.99,227.99
541,9,3,2014-06-29,1,332.49,332.49
542,9,9,2014-06-30,1,427.49,427.49
750,9,2,2015-01-24,25,123.49,123.49
751,9,4,2015-01-25,25,284.99,284.99
752,9,7,2015-01-26,6,56.99,56.99
753,9,8,2015-01-27,4,170.99,170.99
754,9,10,2015-01-28,1,227.99,227.99
755,9,3,2015-01-29,1,332.49,332.49
756,9,9,2015-01-30,1,427.49,427.49
1058,9,2,2015-11-28,29,123.49,123.49
1059,9,4,2015-11-29,29,284.99,284.99
1060,9,7,2015-11-30,7,56.99,56.99
1061,9,8,2015-12-01,5,170.99,170.99
1062,9,10,2015-12-02,1,227.99,227.99
1063,9,3,2015-12-03,1,332.49,332.49
1064,9,9,2015-12-04,1,427.49,427.49
1129,9,2,2016-02-07,32,123.49,123.49
1130,9,4,2016-02-08,32,284.99,284.99
1131,9,7,2016-02-09,8,56.99,56.99
1132,9,8,2016-02-10,6,170.99,170.99
1133,9,10,2016-02-11,2,227.99,227.99
1134,9,3,2016-02-12,2,332.49,332.49
1135,9,9,2016-02-13,2,427.49,427.49
1213,9,2,2016-05-01,29,123.49,123.49
1214,9,4,2016-05-02,29,284.99,284.99
1215,9,7,2016-05-03,7,56.99,56.99
1216,9,8,2016-05-04,5,170.99,170.99
1217,9,10,2016-05-05,1,227.99,227.99
1218,9,3,2016-05-06,1,332.49,332.49
1219,9,9,2016-05-07,1,427.49,427.49
1352,9,2,2016-09-17,23,123.49,123.49
1353,9,4,2016-09-18,23,284.99,284.99
1354,9,7,2016-09-19,5,56.99,56.99
1355,9,8,2016-09-20,4,170.99,170.99
1356,9,10,2016-09-21,1,227.99,227.99
1357,9,3,2016-09-22,1,332.49,332.49
1358,9,9,2016-09-23,1,427.49,427.49
1433,9,2,2016-12-07,20,123.49,123.49
1434,9,4,2016-12-08,20,284.99,284.99
1435,9,7,2016-12-09,5,56.99,56.99
1436,9,8,2016-12-10,3,170.99,170.99
1437,9,10,2016-12-11,1,227.99,227.99
1438,9,3,2016-12-12,1,332.49,332.49
1439,9,9,2016-12-13,1,427.49,427.49
1647,9,2,2017-07-09,31,123.49,123.49
1648,9,4,2017-07-10,31,284.99,284.99
1649,9,7,2017-07-11,7,56.99,56.99
1650,9,8,2017-07-12,5,170.99,170.99
1651,9,10,2017-07-13,1,227.99,227.99
1652,9,3,2017-07-14,1,332.49,332.49
1653,9,9,2017-07-15,1,427.49,427.49
1955,9,2,2018-05-13,34,123.49,123.49
1956,9,4,2018-05-14,34,284.99,284.99
1957,9,7,2018-05-15,8,56.99,56.99
1958,9,8,2018-05-16,6,170.99,170.99
1959,9,10,2018-05-17,2,227.99,227.99
1960,9,3,2018-05-18,2,332.49,332.49
1961,9,9,2018-05-19,2,427.49,427.49
2026,9,2,2018-07-23,37,123.49,123.49
2027,9,4,2018-07-24,37,284.99,284.99
2028,9,7,2018-07-25,9,56.99,56.99
2029,9,8,2018-07-26,7,170.99,170.99
2030,9,10,2018-07-27,2,227.99,227.99
2031,9,3,2018-07-28,2,332.49,332.49
2032,9,9,2018-07-29,2,427.49,427.49
2203,9,2,2019-01-16,19,123.49,123.49
2204,9,4,2019-01-17,19,284.99,284.99
2205,9,7,2019-01-18,4,56.99,56.99
2206,9,8,2019-01-19,3,170.99,170.99
2207,9,10,2019-01-20,1,227.99,227.99
2208,9,3,2019-01-21,1,332.49,332.49
2209,9,9,2019-01-22,1,427.49,427.49
2284,9,2,2019-04-07,16,123.49,123.49
2285,9,4,2019-04-08,16,284.99,284.99
2286,9,7,2019-04-09,4,56.99,56.99
2287,9,8,2019-04-10,3,170.99,170.99
2288,9,10,2019-04-11,1,227.99,227.99
2289,9,3,2019-04-12,1,332.49,332.49
2290,9,9,2019-04-13,1,427.49,427.49
156,9,2,2015-11-12,25,123.49,123.49
157,9,4,2015-11-12,25,284.99,284.99
158,9,7,2015-11-12,6,56.99,56.99
159,9,8,2015-11-12,4,170.99,170.99
160,9,10,2015-11-12,1,227.99,227.99
161,9,3,2015-11-12,1,332.49,332.49
162,9,9,2015-11-12,1,427.49,427.49
366,9,2,2016-02-12,24,123.49,123.49
367,9,4,2016-02-12,24,284.99,284.99
368,9,7,2016-02-12,6,56.99,56.99
369,9,8,2016-02-12,4,170.99,170.99
370,9,10,2016-02-12,20,227.99,227.99
371,9,3,2016-02-12,20,332.49,332.49
372,9,9,2016-02-12,20,427.49,427.49
437,9,2,2016-03-12,26,123.49,123.49
438,9,4,2016-03-12,26,284.99,284.99
439,9,7,2016-03-12,6,56.99,56.99
440,9,8,2016-03-12,4,170.99,170.99
441,9,10,2016-03-12,20,227.99,227.99
442,9,3,2016-03-12,20,332.49,332.49
443,9,9,2016-03-12,20,427.49,427.49
577,9,2,2016-06-12,19,123.49,123.49
578,9,4,2016-06-12,19,284.99,284.99
579,9,7,2016-06-12,4,56.99,56.99
580,9,8,2016-06-12,3,170.99,170.99
581,9,10,2016-06-12,20,227.99,227.99
582,9,3,2016-06-12,20,332.49,332.49
583,9,9,2016-06-12,20,427.49,427.49
658,9,2,2016-07-12,16,123.49,123.49
659,9,4,2016-07-12,16,284.99,284.99
660,9,7,2016-07-12,4,56.99,56.99
661,9,8,2016-07-12,3,170.99,170.99
662,9,10,2016-07-12,20,227.99,227.99
663,9,3,2016-07-12,20,332.49,332.49
664,9,9,2016-07-12,20,427.49,427.49
872,9,2,2016-11-12,25,123.49,123.49
873,9,4,2016-11-12,25,284.99,284.99
874,9,7,2016-11-12,6,56.99,56.99
875,9,8,2016-11-12,4,170.99,170.99
876,9,10,2016-11-12,20,227.99,227.99
